COU,Country,MAREG,Macroregion,MIREG,Microregion,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CHE,Switzerland,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,100,,
GBR,United Kingdom,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,10.44482,,
GBR,United Kingdom,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,65.00192,,
GBR,United Kingdom,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,1.20298,,
GBR,United Kingdom,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
GBR,United Kingdom,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
GBR,United Kingdom,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.88983,,
USA,United States,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,7.36365,,
USA,United States,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,3.14777,,
USA,United States,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0.2288,,
USA,United States,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0.02308,,
USA,United States,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0.00461,,
USA,United States,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.94355,,
G7M,G7,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,10.04892,,
G7M,G7,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,46.24691,,
G7M,G7,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,7.98732,,
G7M,G7,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0.50876,,
G7M,G7,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0.00184,,
G7M,G7,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.87857,,
AFG,Afghanistan,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,57.96859,,
AFG,Afghanistan,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,100,,
AFG,Afghanistan,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,100,,
AFG,Afghanistan,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,100,,
AFG,Afghanistan,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.90273,,
AFG,Afghanistan,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,100,,
ALB,Albania,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,18.59367,,
ALB,Albania,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.04241,,
ALB,Albania,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,81.7,,
ALB,Albania,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,3.59771,,
ALB,Albania,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
ALB,Albania,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.97562,,
DZA,Algeria,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,39.40822,,
DZA,Algeria,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.81773,,
DZA,Algeria,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.81773,,
DZA,Algeria,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.81773,,
DZA,Algeria,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,85.19334,,
DZA,Algeria,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.81773,,
AND,Andorra,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,12.51611,,
AND,Andorra,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,40.64374,,
AND,Andorra,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
AND,Andorra,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
AND,Andorra,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
AND,Andorra,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,100,,
AGO,Angola,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,32.5582,,
AGO,Angola,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.95012,,
AGO,Angola,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.95012,,
AGO,Angola,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.95012,,
AGO,Angola,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,24.04559,,
AGO,Angola,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.98586,,
ATG,Antigua and Barbuda,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,18.93646,,
ATG,Antigua and Barbuda,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,98.57743,,
ATG,Antigua and Barbuda,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,98.22983,,
ATG,Antigua and Barbuda,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
ATG,Antigua and Barbuda,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
ATG,Antigua and Barbuda,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.74112,,
ARG,Argentina,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,14.23482,,
ARG,Argentina,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,96.00372,,
ARG,Argentina,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,26.9385,,
ARG,Argentina,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,4.0847,,
ARG,Argentina,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0.82313,,
ARG,Argentina,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.99913,,
ARM,Armenia,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,32.63979,,
ARM,Armenia,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,100,,
ARM,Armenia,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,100,,
ARM,Armenia,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,79.14935,,
ARM,Armenia,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,38.51731,,
ARM,Armenia,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,100,,
AZE,Azerbaijan,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,20.7103,,
AZE,Azerbaijan,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.87592,,
AZE,Azerbaijan,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.84324,,
AZE,Azerbaijan,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,9.32492,,
AZE,Azerbaijan,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,1.02855,,
AZE,Azerbaijan,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.98962,,
BHS,Bahamas,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,17.7732,,
BHS,Bahamas,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,94.93678,,
BHS,Bahamas,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,79.61276,,
BHS,Bahamas,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
BHS,Bahamas,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
BHS,Bahamas,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,98.82474,,
BHR,Bahrain,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,69.88265,,
BHR,Bahrain,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.99975,,
BHR,Bahrain,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.99975,,
BHR,Bahrain,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.99975,,
BHR,Bahrain,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.99975,,
BHR,Bahrain,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.99975,,
BGD,Bangladesh,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,60.5818,,
BGD,Bangladesh,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.98831,,
BGD,Bangladesh,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.98831,,
BGD,Bangladesh,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.98831,,
BGD,Bangladesh,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.98831,,
BGD,Bangladesh,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.99992,,
BRB,Barbados,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,23.13993,,
BRB,Barbados,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.94896,,
BRB,Barbados,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.94896,,
BRB,Barbados,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
BRB,Barbados,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
BRB,Barbados,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.94896,,
BLR,Belarus,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,19.04726,,
BLR,Belarus,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.92175,,
BLR,Belarus,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,90.93712,,
BLR,Belarus,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,5.47573,,
BLR,Belarus,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,2.05471,,
BLR,Belarus,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,100,,
BLZ,Belize,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,22.49903,,
BLZ,Belize,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,90.50925,,
BLZ,Belize,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,90.50925,,
BLZ,Belize,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0.16419,,
BLZ,Belize,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
BLZ,Belize,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,91.91337,,
BEN,Benin,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,39.74976,,
BEN,Benin,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.96456,,
BEN,Benin,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.96456,,
BEN,Benin,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.96456,,
BEN,Benin,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,42.93447,,
BEN,Benin,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,100,,
BTN,Bhutan,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,33.95557,,
BTN,Bhutan,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,100,,
BTN,Bhutan,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,100,,
BTN,Bhutan,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,84.08023,,
BTN,Bhutan,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,43.23267,,
BTN,Bhutan,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,100,,
BOL,Bolivia,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,22.23571,,
BOL,Bolivia,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,100,,
BOL,Bolivia,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,94.8616,,
BOL,Bolivia,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,33.98818,,
BOL,Bolivia,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
BOL,Bolivia,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,100,,
BIH,Bosnia and Herzegovina,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,28.6026,,
BIH,Bosnia and Herzegovina,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.99552,,
BIH,Bosnia and Herzegovina,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,96.40347,,
BIH,Bosnia and Herzegovina,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,68.86375,,
BIH,Bosnia and Herzegovina,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,18.98516,,
BIH,Bosnia and Herzegovina,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,100,,
BWA,Botswana,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,23.67802,,
BWA,Botswana,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,100,,
BWA,Botswana,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,100,,
BWA,Botswana,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,43.02759,,
BWA,Botswana,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
BWA,Botswana,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,100,,
BRA,Brazil,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,12.82884,,
BRA,Brazil,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,68.25602,,
BRA,Brazil,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,19.27242,,
BRA,Brazil,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,4.41772,,
BRA,Brazil,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,1.91758,,
BRA,Brazil,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.93314,,
BRN,Brunei Darussalam,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,5.75702,,
BRN,Brunei Darussalam,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
BRN,Brunei Darussalam,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
BRN,Brunei Darussalam,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
BRN,Brunei Darussalam,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
BRN,Brunei Darussalam,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.42015,,
BGR,Bulgaria,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,20.28975,,
BGR,Bulgaria,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.77606,,
BGR,Bulgaria,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,85.30544,,
BGR,Bulgaria,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,12.93406,,
BGR,Bulgaria,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0.01583,,
BGR,Bulgaria,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.944,,
BFA,Burkina Faso,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,43.92465,,
BFA,Burkina Faso,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,100,,
